question,option_a,option_b,option_c,option_d,correct
"Олдида тишлари бор, лекин овқат емайди. Бу нима?",Пичоқ,Қайчи,Чангак,Тарақ,D
"Жумбоқ: Олдида тишлари бор, лекин овқат емайди. Нима деб ўйлайсиз?",Чангак,Пичоқ,Тарақ,Қайчи,C
"Мантиқли савол: Олдида тишлари бор, лекин овқат емайди. Тўғри жавобни топинг.",Қайчи,Чангак,Пичоқ,Тарақ,D
"Топинг: Олдида тишлари бор, лекин овқат емайди. Жавоб қайси?",Қайчи,Пичоқ,Тарақ,Чангак,C
"Қуйидаги саволга жавоб беринг: Олдида тишлари бор, лекин овқат емайди. Қайси жавоб тўғри?",Қайчи,Пичоқ,Чангак,Тарақ,D
"Ўйлаб кўринг: Олдида тишлари бор, лекин овқат емайди. Бу нима?",Қайчи,Чангак,Пичоқ,Тарақ,D
"Тезкор савол: Олдида тишлари бор, лекин овқат емайди. Нима деб ўйлайсиз?",Пичоқ,Қайчи,Тарақ,Чангак,C
"Оддий савол: Олдида тишлари бор, лекин овқат емайди. Тўғри жавобни топинг.",Қайчи,Чангак,Тарақ,Пичоқ,C
"Эътибор билан ўқинг: Олдида тишлари бор, лекин овқат емайди. Жавоб қайси?",Тарақ,Пичоқ,Қайчи,Чангак,A
"Савол: Олдида тишлари бор, лекин овқат емайди. Қайси жавоб тўғри?",Пичоқ,Чангак,Тарақ,Қайчи,C
"Кўзи бор, лекин кўрмайди. Бу нима?",Қалам,Тугма,Мих,Игна,D
"Жумбоқ: Кўзи бор, лекин кўрмайди. Нима деб ўйлайсиз?",Мих,Қалам,Тугма,Игна,D
"Мантиқли савол: Кўзи бор, лекин кўрмайди. Тўғри жавобни топинг.",Мих,Тугма,Игна,Қалам,C
"Топинг: Кўзи бор, лекин кўрмайди. Жавоб қайси?",Қалам,Мих,Тугма,Игна,D
"Қуйидаги саволга жавоб беринг: Кўзи бор, лекин кўрмайди. Қайси жавоб тўғри?",Игна,Тугма,Мих,Қалам,A
"Ўйлаб кўринг: Кўзи бор, лекин кўрмайди. Бу нима?",Мих,Игна,Қалам,Тугма,B
"Тезкор савол: Кўзи бор, лекин кўрмайди. Нима деб ўйлайсиз?",Тугма,Мих,Қалам,Игна,D
"Оддий савол: Кўзи бор, лекин кўрмайди. Тўғри жавобни топинг.",Тугма,Мих,Игна,Қалам,C
"Эътибор билан ўқинг: Кўзи бор, лекин кўрмайди. Жавоб қайси?",Мих,Қалам,Тугма,Игна,D
"Савол: Кўзи бор, лекин кўрмайди. Қайси жавоб тўғри?",Игна,Тугма,Қалам,Мих,A
"Қўли бор, лекин ушлай олмайди. Бу нима?",Соат,Қулф,Китоб,Телефон,A
"Жумбоқ: Қўли бор, лекин ушлай олмайди. Нима деб ўйлайсиз?",Соат,Китоб,Қулф,Телефон,A
"Мантиқли савол: Қўли бор, лекин ушлай олмайди. Тўғри жавобни топинг.",Телефон,Китоб,Қулф,Соат,D
"Топинг: Қўли бор, лекин ушлай олмайди. Жавоб қайси?",Қулф,Китоб,Соат,Телефон,C
"Қуйидаги саволга жавоб беринг: Қўли бор, лекин ушлай олмайди. Қайси жавоб тўғри?",Қулф,Соат,Телефон,Китоб,B
"Ўйлаб кўринг: Қўли бор, лекин ушлай олмайди. Бу нима?",Телефон,Китоб,Соат,Қулф,C
"Тезкор савол: Қўли бор, лекин ушлай олмайди. Нима деб ўйлайсиз?",Китоб,Қулф,Телефон,Соат,D
"Оддий савол: Қўли бор, лекин ушлай олмайди. Тўғри жавобни топинг.",Телефон,Китоб,Соат,Қулф,C
"Эътибор билан ўқинг: Қўли бор, лекин ушлай олмайди. Жавоб қайси?",Китоб,Телефон,Соат,Қулф,C
"Савол: Қўли бор, лекин ушлай олмайди. Қайси жавоб тўғри?",Соат,Телефон,Қулф,Китоб,A
"Қанотсиз учади, қўлсиз уради. Бу нима?",Қор,Шамол,Туман,Булут,B
"Жумбоқ: Қанотсиз учади, қўлсиз уради. Нима деб ўйлайсиз?",Шамол,Туман,Қор,Булут,A
"Мантиқли савол: Қанотсиз учади, қўлсиз уради. Тўғри жавобни топинг.",Шамол,Булут,Қор,Туман,A
"Топинг: Қанотсиз учади, қўлсиз уради. Жавоб қайси?",Булут,Туман,Шамол,Қор,C
"Қуйидаги саволга жавоб беринг: Қанотсиз учади, қўлсиз уради. Қайси жавоб тўғри?",Булут,Қор,Шамол,Туман,C
"Ўйлаб кўринг: Қанотсиз учади, қўлсиз уради. Бу нима?",Булут,Қор,Туман,Шамол,D
"Тезкор савол: Қанотсиз учади, қўлсиз уради. Нима деб ўйлайсиз?",Булут,Шамол,Қор,Туман,B
"Оддий савол: Қанотсиз учади, қўлсиз уради. Тўғри жавобни топинг.",Шамол,Қор,Булут,Туман,A
"Эътибор билан ўқинг: Қанотсиз учади, қўлсиз уради. Жавоб қайси?",Булут,Шамол,Туман,Қор,B
"Савол: Қанотсиз учади, қўлсиз уради. Қайси жавоб тўғри?",Туман,Булут,Қор,Шамол,D
"Қанотсиз учади, оғизсиз йиғлайди. Бу нима?",Туман,Шамол,Булут,Қор,C
"Жумбоқ: Қанотсиз учади, оғизсиз йиғлайди. Нима деб ўйлайсиз?",Қор,Шамол,Булут,Туман,C
"Мантиқли савол: Қанотсиз учади, оғизсиз йиғлайди. Тўғри жавобни топинг.",Туман,Шамол,Қор,Булут,D
